Student_id,COMPILER DESIGN,OBJECT ORIENTED ANALYSIS AND DESIGN,MACHINE LEARNING,"ARTIFICIAL INTELLIGENCE TOOLS AND TECHNIQUES
","AWS CLOUD PRACTITIONER
",MACHINE LEARNING LAB,OBJECT ORIENTED ANALYSIS AND DESIGN,COMPILER DESIGN LAB,WEB DESIGN AND DEVELOPMENT,COMMUNITY SERVICE PROJECT,FULL STACK DEVELOPMENT,SGPA,CGPA
21A21A0585,A,A,A,C,B,A+,A+,A+,A+,A+,,9.06,8.83
21A21A0586,D,B,B,E,B,A+,A,A,A+,A+,,8.12,7.15
21A21A0587,E,F,D,E,E,A,A,A,A+,A+,,,
21A21A0588,C,C,B,C,,A+,A+,A+,A+,A+,B,8.47,8.17
21A21A0589,D,D,D,D,,A+,A,A,A,A+,C,7.57,
21A21A0590,F,F,F,F,F,A,B,A,A,A+,,,
21A21A0591,D,C,B,C,B,A+,A,A+,A+,A+,,8.29,7.93
21A21A0592,D,C,B,C,B,A+,A,A+,A,A+,,8.22,7.9
21A21A0593,B,B,A,A,,A+,A+,A+,A+,A+,A+,9.29,9.17
21A21A0594,C,C,B,C,,A+,A+,A+,A+,A+,B,8.47,8.21
21A21A0595,B,B,A+,A,,A+,A+,A+,A+,A+,A+,9.41,9.42
21A21A0596,E,E,F,D,,A,B,A,A,A+,B,,
21A21A0597,D,C,B,A,D,A+,A+,A+,A+,A+,,8.35,
21A21A0598,B,B,A,B,,A+,A,A+,A,A+,A,8.92,7.99
21A21A0599,D,D,C,C,,A+,A,A+,A+,A+,C,7.94,
21A21A05A1,D,E,C,E,D,A,A+,A,A,A+,,7.33,7.16
21A21A05A2,E,D,D,F,,A+,A+,A,A,A+,D,,
21A21A05A3,C,B,A,C,,A+,A+,A+,A+,A+,A,8.82,9.03
21A21A05A4,B,C,C,C,,A+,A+,A+,A+,A+,A,8.59,8.08
21A21A05A5,D,B,B,B,D,A+,A+,A+,A+,A+,,8.35,8.59
21A21A05A6,F,F,E,F,F,A+,A+,A+,A+,A+,,,
21A21A05A7,C,B,B,A,,A+,A+,A+,A,A+,A+,8.98,8.55
21A21A05A8,B,B,A+,A+,,A+,A+,A+,A+,A+,A,9.41,9.43
21A21A05A9,C,D,B,B,C,A+,A+,A+,A+,A+,,8.35,8.26
21A21A05B0,B,A,A,B,A,A+,A+,A+,A+,A+,,9.18,9.08
21A21A05B1,A,B,A,A,,A+,A+,A+,A+,A+,A,9.29,9
21A21A05B2,B,B,B,A+,,A+,A+,A+,A+,A+,A,9.18,8.98
21A21A05B3,E,D,C,E,F,A+,A,A+,A+,A+,,,
21A21A05B4,C,B,B,B,C,A+,A+,A+,A+,A+,,8.59,8.36
21A21A05B5,F,D,B,D,D,A+,A+,A+,A,A+,,,
21A21A05B6,C,D,C,C,,A+,A+,A+,A+,A+,C,8.12,7.91
21A21A05B7,A,B,A,A+,A,A+,A+,A+,A+,A+,,9.41,9.49
21A21A05B8,B,C,B,A,,A+,A+,A+,A+,A+,A,8.94,9.19
21A21A05B9,C,C,D,C,C,A,A,A,A,A+,,7.86,7.35
21A21A05C0,B,C,B,B,B,A+,A+,A+,A+,A+,,8.71,8.61
